uf,municipio,segmento_cliente,natureza_juridica,fonte_cliente,cnae_codigo,cnae_descricao,capital_social,idade_cnpj,serasa_contagem_negativacoes,serasa_contagem_protestos,serasa_idade_divida_mais_recente,serasa_credores,serasa_socio_tem_negativacao,ifood_contagem_avaliacoes,ifood_faixa_preco,google_maps_avaliacao,google_maps_contagem_avaliacoes,google_maps_tem_website,inadimplente
PE,RECIFE,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.11-2-01,Restaurantes e similares,"(50000, 70000]","(25, 50]",0,0,,,0,,,,,,1
PB,JOAO PESSOA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 2,56.12-1-00,Serviços ambulantes de alimentação,"(200, 1000]","(900, 1150]",0,0,,,1,,,,,,1
CE,FORTALEZA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 1,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(8000, 10000]","(4000, 5000]",0,0,,,0,,,,,,0
PE,RECIFE,Hambúrguer,213-5 - Empresário (Individual),Fonte 2,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(3000, 5000]","(100, 150]",0,0,,,0,,,,,,0
PE,IGARASSU,Padaria,213-5 - Empresário (Individual),Fonte 1,56.11-2-01,Restaurantes e similares,"(30000, 50000]","(4000, 5000]",1,0,13,Tecnologia e Pagamentos,0,,,"(4.5, 5.0]","(0, 5]",1,0
PB,JOAO PESSOA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 1,47.21-1-02,Padaria e confeitaria com predominância de revenda,"(3000, 5000]","(150, 250]",0,0,,,0,,,,,,0
PE,RECIFE,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.20-1-01,Fornecimento de alimentos preparados preponderantemente para empresas,"(3000, 5000]","(2000, 2400]",0,0,,,1,,,"(4.0, 4.5]","(5, 10]",1,1
PB,JOAO PESSOA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 3,10.96-1-00,Fabricação de alimentos e pratos prontos,"(200, 1000]","(25, 50]",0,0,,,1,,,,,,0
CE,FORTALEZA,Pizza & Massas,206-2 - Sociedade Empresária Limitada,Fonte 1,56.11-2-01,Restaurantes e similares,"(15000, 20000]","(600, 750]",0,0,,,0,,,,,,0
CE,FORTALEZA,Padaria,213-5 - Empresário (Individual),Fonte 3,33.21-0-00,Instalação de máquinas e equipamentos industriais,"(200, 1000]","(450, 600]",0,0,,,0,,,,,,0
PB,JOAO PESSOA,Distribuidor,213-5 - Empresário (Individual),Fonte 2,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(8000, 10000]","(600, 750]",0,0,,,1,,,,,,1
PB,JOAO PESSOA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(200, 1000]","(2000, 2400]",0,0,,,1,,,,,,1
PB,JOAO PESSOA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 2,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(200, 1000]","(1600, 2000]",0,0,,,1,,,,,,1
CE,FORTALEZA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,"(0, 1]","(450, 600]",0,0,,,1,,,,,,1
PE,OLINDA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.20-1-02,Serviços de alimentação para eventos e recepções - bufê,"(30000, 50000]","(4000, 5000]",0,0,,,0,,,,,,0
CE,FORTALEZA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,"(3000, 5000]","(1300, 1600]",0,0,,,0,"(100, 200]",$$$$,,,,0
PE,PAULISTA,Padaria,206-2 - Sociedade Empresária Limitada,Fonte 2,47.11-3-02,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados","(70000, 100000]","(5000, 8000]",0,3,1,,1,,,"(4.0, 4.5]","(500, 750]",1,0
PE,CARPINA,Hambúrguer,213-5 - Empresário (Individual),Fonte 2,47.21-1-02,Padaria e confeitaria com predominância de revenda,"(15000, 20000]","(450, 600]",0,0,,,0,,,,,,1
PE,JABOATAO DOS GUARARAPES,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 2,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(0, 1]","(4000, 5000]",0,0,,,0,"(30, 50]",$,,,,0
CE,FORTALEZA,Doces & Confeitaria,206-2 - Sociedade Empresária Limitada,Fonte 1,10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,"(200, 1000]","(50, 100]",0,0,,,1,,,,,,0
PE,PAULISTA,Doces & Confeitaria,206-2 - Sociedade Empresária Limitada,Fonte 2,47.21-1-04,"Comércio varejista de doces, balas, bombons e semelhantes","(30000, 50000]","(150, 250]",0,0,,,0,,,,,,0
PE,SAO LOURENCO DA MATA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.11-2-01,Restaurantes e similares,"(70000, 100000]","(0, 25]",0,0,,,0,,,,,,0
PE,IPOJUCA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(3000, 5000]","(0, 25]",0,0,,,0,,,,,,1
PE,PAULISTA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,"(200, 1000]","(350, 450]",0,0,,,1,,,,,,1
CE,CASCAVEL,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 5,56.11-2-01,Restaurantes e similares,"(3000, 5000]","(750, 900]",0,0,,,1,,,,,,1
PE,RECIFE,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.11-2-01,Restaurantes e similares,"(8000, 10000]","(1150, 1300]",0,0,,,0,,,"(4.5, 5.0]","(20, 30]",1,0
CE,MARACANAU,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(200, 1000]","(900, 1150]",0,0,,,0,,,,,,1
PE,RECIFE,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,47.21-1-03,Comércio varejista de laticínios e frios,"(50000, 70000]","(600, 750]",0,0,,,0,,,,,,0
PE,CABO DE SANTO AGOSTINHO,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,"(200, 1000]","(1150, 1300]",0,0,,,0,,,,,,1
CE,FORTALEZA,Padaria,213-5 - Empresário (Individual),Fonte 1,47.72-5-00,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal","(200, 1000]","(250, 350]",0,0,,,0,,,,,,1
PE,CARUARU,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,"(3000, 5000]","(150, 250]",0,0,,,0,,,,,,1
PE,GRAVATA,Bar,213-5 - Empresário (Individual),Fonte 2,56.11-2-01,Restaurantes e similares,"(1000, 1500]","(1300, 1600]",0,0,,,0,,,,,,1
PE,OLINDA,Mercearia & Mercado,206-2 - Sociedade Empresária Limitada,Fonte 5,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(50000, 70000]","(600, 750]",0,0,,,0,,,,,,1
PE,SAO LOURENCO DA MATA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 2,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(200, 1000]","(1600, 2000]",0,0,,,0,,,,,,0
CE,FORTALEZA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,10.96-1-00,Fabricação de alimentos e pratos prontos,"(2000, 3000]","(50, 100]",0,0,,,0,,,,,,0
PE,OLINDA,Conveniência,206-2 - Sociedade Empresária Limitada,Fonte 1,47.31-8-00,Comércio varejista de combustíveis para veículos automotores,"(20000, 30000]","(5000, 8000]",0,0,,,0,,,,,,0
CE,FORTALEZA,Mercearia & Mercado,213-5 - Empresário (Individual),Fonte 3,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(8000, 10000]","(600, 750]",0,0,,,0,,,,,,0
CE,FORTALEZA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 1,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(200, 1000]","(3000, 4000]",0,0,,,0,,,,,,0
PE,ARCOVERDE,Cozinha Industrial,213-5 - Empresário (Individual),Fonte 5,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(8000, 10000]","(0, 25]",0,0,,,0,,,,,,1
PE,RECIFE,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 5,79.11-2-00,Agências de viagens,"(200, 1000]","(25, 50]",0,0,,,0,,,,,,1
CE,FORTALEZA,Pizza & Massas,206-2 - Sociedade Empresária Limitada,Fonte 1,56.11-2-01,Restaurantes e similares,"(8000, 10000]","(250, 350]",0,0,,,0,,,,,,0
PE,OLINDA,Lanches & Salgados,206-2 - Sociedade Empresária Limitada,Fonte 2,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(100000, 200000]","(25, 50]",0,0,,,0,,,,,,0
PE,RECIFE,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,"(200, 1000]","(150, 250]",0,0,,,1,,,,,,1
CE,FORTALEZA,Atacarejo & Supermercado,213-5 - Empresário (Individual),Fonte 3,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(3000, 5000]","(250, 350]",0,0,,,0,,,,,,0
PE,RECIFE,Office - Escolas & Escritórios & Consultórios & Associações,206-2 - Sociedade Empresária Limitada,Fonte 3,70.20-4-00,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica","(10000000, 100000000000]","(3000, 4000]",0,0,,,0,,,"(3.0, 4.0]","(20, 30]",1,0
PE,ILHA DE ITAMARACA,Bar,213-5 - Empresário (Individual),Fonte 2,56.11-2-04,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento","(200, 1000]","(900, 1150]",0,0,,,1,,,,,,1
PE,RECIFE,Restaurante Brasileiro,206-2 - Sociedade Empresária Limitada,Fonte 2,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(50000, 70000]","(3000, 4000]",0,0,,,0,"(100, 200]",$$,"(4.5, 5.0]","(50, 100]",1,0
PB,JOAO PESSOA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 5,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(1000, 1500]","(450, 600]",0,0,,,1,,,,,,1
PE,OLINDA,Conveniência,206-2 - Sociedade Empresária Limitada,Fonte 1,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(30000, 50000]","(350, 450]",0,0,,,0,,,,,,0
PB,JOAO PESSOA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.11-2-01,Restaurantes e similares,"(30000, 50000]","(25, 50]",0,0,,,0,,,,,,0
PB,JOAO PESSOA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 1,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(1500, 2000]","(450, 600]",0,0,,,1,,,,,,1
PE,RECIFE,Office - Escolas & Escritórios & Consultórios & Associações,206-2 - Sociedade Empresária Limitada,Fonte 5,41.20-4-00,Construção de edifícios,"(1000000, 10000000]","(1150, 1300]",0,0,,,0,,,,,,0
PE,CARUARU,Bar,213-5 - Empresário (Individual),Fonte 2,56.11-2-04,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento","(8000, 10000]","(450, 600]",0,0,,,0,,,"(4.0, 4.5]","(5, 10]",1,1
PE,FERNANDO DE NORONHA,Hotel,206-2 - Sociedade Empresária Limitada,Fonte 2,55.10-8-01,Hotéis,"(200000, 1000000]","(1150, 1300]",0,0,,,1,,,,,,0
PB,JOAO PESSOA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,"(200, 1000]","(1600, 2000]",1,0,11,Tecnologia e Pagamentos,1,,,,,,0
PE,RECIFE,Bar,213-5 - Empresário (Individual),Fonte 2,56.20-1-01,Fornecimento de alimentos preparados preponderantemente para empresas,"(1500, 2000]","(450, 600]",0,0,,,0,,,,,,0
CE,EUSEBIO,Restaurante Brasileiro,206-2 - Sociedade Empresária Limitada,Fonte 5,56.11-2-01,Restaurantes e similares,"(200000, 1000000]","(50, 100]",0,0,,,0,,,,,,0
PE,RECIFE,Churrascaria,213-5 - Empresário (Individual),Fonte 2,56.11-2-01,Restaurantes e similares,"(1, 200]","(600, 750]",0,0,,,1,,,,,,1
PE,RECIFE,Conveniência,206-2 - Sociedade Empresária Limitada,Fonte 2,96.02-5-02,Atividades de estética e outros serviços de cuidados com a beleza,"(8000, 10000]","(8000, 25000]",8,0,22,Bancos e Financeiro,1,,,,,,0
PB,JOAO PESSOA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 2,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(200, 1000]","(25, 50]",0,0,,,0,,,,,,1
PE,CARUARU,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,47.21-1-02,Padaria e confeitaria com predominância de revenda,"(200, 1000]","(25, 50]",0,0,,,1,,,,,,1
PE,RECIFE,Açaí & Sorvetes,206-2 - Sociedade Empresária Limitada,Fonte 2,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(8000, 10000]","(450, 600]",0,0,,,0,,,,,,0
PB,SANTA RITA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.11-2-01,Restaurantes e similares,"(5000, 8000]","(4000, 5000]",0,0,,,0,,,,,,1
CE,ITAITINGA,Pizza & Massas,213-5 - Empresário (Individual),Fonte 3,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(20000, 30000]","(250, 350]",0,0,,,0,,,,,,0
CE,FORTALEZA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 1,10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,"(200, 1000]","(100, 150]",0,0,,,0,,,,,,0
CE,FORTALEZA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 1,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(3000, 5000]","(600, 750]",0,0,,,1,,,,,,0
CE,MARACANAU,Churrascaria,213-5 - Empresário (Individual),Fonte 2,56.11-2-04,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento","(2000, 3000]","(150, 250]",0,0,,,1,,,,,,1
PE,RECIFE,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,"(3000, 5000]","(150, 250]",0,0,,,0,,,,,,0
PE,RECIFE,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,"(1000, 1500]","(150, 250]",0,0,,,0,,,,,,0
CE,FORTALEZA,Conveniência,213-5 - Empresário (Individual),Fonte 2,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(0, 1]","(350, 450]",0,0,,,1,,,,,,1
CE,FORTALEZA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 1,56.12-1-00,Serviços ambulantes de alimentação,"(200, 1000]","(1600, 2000]",1,0,6,Tecnologia e Pagamentos,1,,,,,,0
PE,RECIFE,Japonês & Chinês & Asiático,206-2 - Sociedade Empresária Limitada,Fonte 2,56.11-2-01,Restaurantes e similares,"(100000, 200000]","(450, 600]",0,0,,,1,,,"(4.5, 5.0]","(20, 30]",1,0
PB,JOAO PESSOA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 1,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(200, 1000]","(150, 250]",0,0,,,1,,,,,,0
PE,RECIFE,Restaurante Brasileiro,206-2 - Sociedade Empresária Limitada,Fonte 5,56.11-2-01,Restaurantes e similares,"(30000, 50000]","(1600, 2000]",0,0,,,1,"(10, 20]",$,,,,0
CE,FORTALEZA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.20-1-01,Fornecimento de alimentos preparados preponderantemente para empresas,"(10000, 15000]","(0, 25]",0,0,,,1,,,,,,1
CE,FORTALEZA,Cozinha Industrial,213-5 - Empresário (Individual),Fonte 5,10.96-1-00,Fabricação de alimentos e pratos prontos,"(200, 1000]","(350, 450]",0,0,,,1,,,,,,1
CE,FORTALEZA,Distribuidor,213-5 - Empresário (Individual),Fonte 5,43.21-5-00,Instalação e manutenção elétrica,"(1000, 1500]","(1600, 2000]",0,0,,,0,,,,,,1
CE,EUSEBIO,Atacarejo & Supermercado,213-5 - Empresário (Individual),Fonte 4,47.13-0-02,"Lojas de variedades, exceto lojas de departamentos ou magazines","(8000, 10000]","(1150, 1300]",0,0,,,0,,,,,,0
PE,BUIQUE,Mercearia & Mercado,213-5 - Empresário (Individual),Fonte 5,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(8000, 10000]","(450, 600]",0,0,,,0,,,,,,1
PE,JABOATAO DOS GUARARAPES,Pizza & Massas,206-2 - Sociedade Empresária Limitada,Fonte 2,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(30000, 50000]","(0, 25]",0,0,,,1,,,,,,1
CE,FORTALEZA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 5,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(8000, 10000]","(3000, 4000]",0,0,,,0,,,,,,1
PE,RECIFE,Açaí & Sorvetes,206-2 - Sociedade Empresária Limitada,Fonte 2,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(70000, 100000]","(1150, 1300]",0,0,,,0,"(30, 50]",$,"(4.0, 4.5]","(50, 100]",1,0
PE,JABOATAO DOS GUARARAPES,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.11-2-01,Restaurantes e similares,"(200, 1000]","(900, 1150]",0,0,,,0,,,,,,0
PE,RECIFE,Office - Escolas & Escritórios & Consultórios & Associações,223-2 - Sociedade Simples Pura,Fonte 2,69.11-7-01,Serviços advocatícios (Dispensada *),"(15000, 20000]","(2400, 3000]",0,0,,,1,,,,,,0
PB,JOAO PESSOA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,"(1000, 1500]","(150, 250]",0,0,,,1,,,,,,1
PE,PAULISTA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 2,47.21-1-02,Padaria e confeitaria com predominância de revenda,"(1000, 1500]","(250, 350]",0,0,,,0,,,,,,0
PE,OLINDA,Distribuidor,213-5 - Empresário (Individual),Fonte 5,47.23-7-00,Comércio varejista de bebidas,"(5000, 8000]","(1300, 1600]",2,0,44,"Financeiro, Bancos e Financeiro",1,,,"(4.5, 5.0]","(0, 5]",1,1
CE,FORTALEZA,Pizza & Massas,213-5 - Empresário (Individual),Fonte 1,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(1500, 2000]","(50, 100]",0,0,,,1,,,,,,1
PE,RECIFE,Cozinha Industrial,206-2 - Sociedade Empresária Limitada,Fonte 5,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(70000, 100000]","(4000, 5000]",2,0,8,Tecnologia,0,,$,,,,0
CE,FORTALEZA,Atacarejo & Supermercado,213-5 - Empresário (Individual),Fonte 3,85.99-6-04,Treinamento em desenvolvimento profissional e gerencial,"(200, 1000]","(1300, 1600]",6,3,12,Saúde,0,,,,,,1
PE,CARUARU,Pizza & Massas,213-5 - Empresário (Individual),Fonte 2,56.20-1-02,Serviços de alimentação para eventos e recepções - bufê,"(5000, 8000]","(450, 600]",0,0,,,0,,,,,,0
PB,CONDE,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,47.55-5-02,Comercio varejista de artigos de armarinho,"(3000, 5000]","(350, 450]",0,0,,,1,,,,,,1
PE,PAULISTA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 1,43.22-3-02,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração","(8000, 10000]","(750, 900]",0,0,,,0,,,,,,0
PE,RECIFE,Restaurante Brasileiro,206-2 - Sociedade Empresária Limitada,Fonte 2,56.11-2-01,Restaurantes e similares,"(15000, 20000]","(350, 450]",0,0,,,0,,,"(3.0, 4.0]","(0, 5]",1,0
PB,JOAO PESSOA,Hotel,213-5 - Empresário (Individual),Fonte 1,55.90-6-99,Outros alojamentos não especificados anteriormente,"(30000, 50000]","(3000, 4000]",0,0,,,1,,,,,,0
PE,RECIFE,Restaurante Brasileiro,206-2 - Sociedade Empresária Limitada,Fonte 2,56.11-2-01,Restaurantes e similares,"(8000, 10000]","(8000, 25000]",1,0,2,Indústria,0,,$,,,,0
PE,OLINDA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 5,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(200, 1000]","(900, 1150]",0,0,,,1,,,,,,0
CE,FORTALEZA,Office - Escolas & Escritórios & Consultórios & Associações,213-5 - Empresário (Individual),Fonte 4,45.20-0-06,Serviços de borracharia para veículos automotores,"(1500, 2000]","(2000, 2400]",0,0,,,1,,,,,,1
PE,CABO DE SANTO AGOSTINHO,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 5,10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,"(1500, 2000]","(0, 25]",0,0,,,0,,,,,,1
PB,JOAO PESSOA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 4,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(3000, 5000]","(100, 150]",0,0,,,0,,,,,,0
PE,GRAVATA,Padaria,206-2 - Sociedade Empresária Limitada,Fonte 1,47.21-1-02,Padaria e confeitaria com predominância de revenda,"(200000, 1000000]","(50, 100]",0,0,,,0,,,,,,0
PE,IPOJUCA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 2,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(200, 1000]","(150, 250]",0,0,,,0,,,,,,1
CE,FORTALEZA,Churrascaria,213-5 - Empresário (Individual),Fonte 1,56.11-2-01,Restaurantes e similares,"(15000, 20000]","(4000, 5000]",0,0,,,0,,,,,,0
PE,OLINDA,Lanches & Salgados,206-2 - Sociedade Empresária Limitada,Fonte 1,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(30000, 50000]","(450, 600]",0,0,,,1,,,,,,0
PE,OLINDA,Cafeteria,206-2 - Sociedade Empresária Limitada,Fonte 2,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(100000, 200000]","(0, 25]",0,0,,,0,,,"(3.0, 4.0]","(0, 5]",1,0
CE,FORTALEZA,Padaria,213-5 - Empresário (Individual),Fonte 1,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(3000, 5000]","(5000, 8000]",1,8,2,Bancos e Financeiro,1,,$$$,,,,0
PB,JOAO PESSOA,Cafeteria,213-5 - Empresário (Individual),Fonte 1,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(30000, 50000]","(250, 350]",0,1,2,,0,,,,,,0
CE,FORTALEZA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 2,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(200, 1000]","(0, 25]",0,0,,,1,,,,,,1
PE,POMBOS,Hotel,206-2 - Sociedade Empresária Limitada,Fonte 2,55.10-8-01,Hotéis,"(50000, 70000]","(900, 1150]",5,0,11,"Tecnologia e Pagamentos, Bancos e Financeiro, Comércio",1,,,,,,0
PB,JOAO PESSOA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 2,56.20-1-01,Fornecimento de alimentos preparados preponderantemente para empresas,"(3000, 5000]","(600, 750]",0,0,,,0,,,,,,0
PE,SIRINHAEM,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.11-2-01,Restaurantes e similares,"(8000, 10000]","(50, 100]",0,0,,,0,,,,,,0
PE,CARUARU,Lanches & Salgados,206-2 - Sociedade Empresária Limitada,Fonte 2,10.91-1-01,Fabricação de produtos de panificação industrial,"(20000, 30000]","(350, 450]",0,0,,,0,,,,,,0
CE,PINDORETAMA,Pizza & Massas,213-5 - Empresário (Individual),Fonte 1,56.11-2-01,Restaurantes e similares,"(200, 1000]","(50, 100]",0,0,,,0,,,,,,1
PE,RECIFE,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,10.96-1-00,Fabricação de alimentos e pratos prontos,"(3000, 5000]","(25, 50]",0,0,,,0,,,,,,1
PE,RECIFE,Restaurante Brasileiro,206-2 - Sociedade Empresária Limitada,Fonte 5,56.11-2-01,Restaurantes e similares,"(8000, 10000]","(250, 350]",0,0,,,0,,,,,,0
PB,CONDE,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 3,56.11-2-01,Restaurantes e similares,"(3000, 5000]","(100, 150]",0,0,,,0,,,,,,0
CE,FORTALEZA,Bar,206-2 - Sociedade Empresária Limitada,Fonte 2,56.11-2-05,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento","(30000, 50000]","(0, 25]",0,0,,,0,,,,,,0
PE,CABO DE SANTO AGOSTINHO,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(2000, 3000]","(250, 350]",0,0,,,1,,,,,,1
PB,JOAO PESSOA,Atacarejo & Supermercado,213-5 - Empresário (Individual),Fonte 5,47.29-6-99,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,"(8000, 10000]","(1600, 2000]",0,0,,,0,,,,,,1
PE,IGARASSU,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(20000, 30000]","(0, 25]",0,0,,,0,,,,,,1
PE,CAMARAGIBE,Restaurante Brasileiro,206-2 - Sociedade Empresária Limitada,Fonte 2,47.29-6-99,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,"(20000, 30000]","(450, 600]",0,0,,,1,,,,,,0
PE,CARUARU,Saudável,213-5 - Empresário (Individual),Fonte 1,47.89-0-04,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,"(15000, 20000]","(2400, 3000]",0,0,,,0,,,,,,0
PE,PAULISTA,Hambúrguer,213-5 - Empresário (Individual),Fonte 2,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(10000, 15000]","(50, 100]",0,0,,,0,,,,,,1
PB,JOAO PESSOA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 5,56.11-2-01,Restaurantes e similares,"(8000, 10000]","(0, 25]",0,0,,,0,,,,,,1
CE,FORTALEZA,Churrascaria,213-5 - Empresário (Individual),Fonte 3,56.12-1-00,Serviços ambulantes de alimentação,"(3000, 5000]","(900, 1150]",0,0,,,0,,,,,,0
